,Unnamed: 0,Rnd.,Pick No.,NFL team,Player,Pos.,College,Conf.,Notes
56,,2,56.0,Chicago Bears,Tyrique Stevenson,CB,Miami (FL),ACC,from Jacksonville[R2 - 15]
57,,2,57.0,New York Giants,John Michael Schmitz,C,Minnesota,Big Ten,
58,,2,58.0,Dallas Cowboys,Luke Schoonmaker,TE,Michigan,Big Ten,
59,,2,59.0,Buffalo Bills,O'Cyrus Torrence,OG,Florida,SEC,
60,,2,60.0,Cincinnati Bengals,D. J. Turner,CB,Michigan,Big Ten,
61,,2,61.0,Jacksonville Jaguars,Brenton Strange,TE,Penn State,Big Ten,from San Francisco via Carolina and Chicago[R2 - 16]
62,,2,62.0,Houston Texans,Juice Scruggs,C,Penn State,Big Ten,from Philadelphia[R2 - 17]
63,,2,63.0,Denver Broncos,Marvin Mims,WR,Oklahoma,Big 12,from Kansas City via Detroit[R2 - 18]
64,,3,64.0,Chicago Bears,Zacch Pickens,DT,South Carolina,SEC,
65,,3,65.0,Philadelphia Eagles,Tyler Steen,OT,Alabama,SEC,from Houston[R3 - 1]
66,,3,66.0,Philadelphia Eagles,Sydney Brown,S,Illinois,Big Ten,from Arizona[R3 - 2]
67,,3,67.0,Denver Broncos,Drew Sanders,LB,Arkansas,SEC,from Indianapolis[R3 - 3]
68,,3,68.0,Detroit Lions,Hendon Hooker,QB,Tennessee,SEC,from Denver[R3 - 4]
69,,3,69.0,Houston Texans,Tank Dell,WR,Houston,The American,from LA Rams[R3 - 5]
70,,3,70.0,Las Vegas Raiders,Byron Young,DT,Alabama,SEC,
71,,3,71.0,New Orleans Saints,Kendre Miller,RB,TCU,Big 12,
72,,3,72.0,Arizona Cardinals,Garrett Williams,CB,Syracuse,ACC,from Tennessee[R3 - 6]
73,,3,73.0,New York Giants,Jalin Hyatt,WR,Tennessee,SEC,from Cleveland via Houston and LA Rams[R3 - 7]
74,,3,74.0,Cleveland Browns,Cedric Tillman,WR,Tennessee,SEC,from NY Jets[R3 - 8]
75,,3,75.0,Atlanta Falcons,Zach Harrison,DE,Ohio State,Big Ten,
76,,3,76.0,New England Patriots,Marte Mapu,LB,Sacramento State,Big Sky,from Carolina[R3 - 9]
77,,3,77.0,Los Angeles Rams,Byron Young,DE,Tennessee,SEC,from New England via Miami[R3 - 10]
78,,3,78.0,Green Bay Packers,Tucker Kraft,TE,South Dakota State,MVFC,
79,,3,79.0,Indianapolis Colts,Josh Downs,WR,North Carolina,ACC,from Washington[R3 - 11]
80,,3,80.0,Carolina Panthers,D. J. Johnson,OLB,Oregon,Pac-12,from Pittsburgh[R3 - 12]
81,,3,81.0,Tennessee Titans,Tyjae Spears,RB,Tulane,The American,from Detroit via Arizona[R3 - 13]
82,,3,82.0,Tampa Bay Buccaneers,YaYa Diaby,DE,Louisville,ACC,
83,,3,83.0,Denver Broncos,Riley Moss,CB,Iowa,Big Ten,from Seattle[R3 - 14]
84,,3,84.0,Miami Dolphins,De'Von Achane,RB,Texas A&M,SEC,
85,,3,85.0,Los Angeles Chargers,Daiyan Henley,ILB,Washington State,Pac-12,
86,,3,86.0,Baltimore Ravens,Trenton Simpson,ILB,Clemson,ACC,
87,,3,87.0,San Francisco 49ers,Ji'Ayir Brown,S,Penn State,Big Ten,from Minnesota[R3 - 15]
88,,3,88.0,Jacksonville Jaguars,Tank Bigsby,RB,Auburn,SEC,
89,,3,89.0,Los Angeles Rams,Kobie Turner,DE,Wake Forest,ACC,from NY Giants[R3 - 16]
90,,3,90.0,Dallas Cowboys,DeMarvion Overshown,LB,Texas,Big 12,
91,,3,91.0,Buffalo Bills,Dorian Williams,LB,Tulane,The American,
92,,3,92.0,Kansas City Chiefs,Wanya Morris,OT,Oklahoma,Big 12,from Cincinnati[R3 - 17]
93,,3,93.0,Pittsburgh Steelers,Darnell Washington,TE,Georgia,SEC,from San Francisco via Carolina[R3 - 18]
94,,3,94.0,Arizona Cardinals,Michael Wilson,WR,Stanford,Pac-12,from Philadelphia[R3 - 19]
95,,3,95.0,Cincinnati Bengals,Jordan Battle,S,Alabama,SEC,from Kansas City[R3 - 20]
96,,3*,96.0,Detroit Lions,Brodric Martin,DT,Western Kentucky,C-USA,from Arizona[R3 - 21]
97,,3*,97.0,Washington Commanders,Ricky Stromberg,C,Arkansas,SEC,
98,,3×,98.0,Cleveland Browns,Siaki Ika,DT,Baylor,Big 12,2020 Resolution JC-2A selection[a]
99,,3×,99.0,San Francisco 49ers,Jake Moody,K,Michigan,Big Ten,2020 Resolution JC-2A selection[b]
100,,3×,100.0,Las Vegas Raiders,Tre Tucker,WR,Cincinnati,The American,2020 Resolution JC-2A selection;[c] from Kansas City via NY Giants[R3 - 22]
101,,3×,101.0,San Francisco 49ers,Cameron Latu,TE,Alabama,SEC,2020 Resolution JC-2A selection[d]
102,,3×,102.0,Minnesota Vikings,Mekhi Blackmon,CB,USC,Pac-12,2020 Resolution JC-2A selection;[e] from San Francisco[R3 - 23]
103,,4,103.0,New Orleans Saints,Nick Saldiveri,OT,Old Dominion,Sun Belt,from Chicago[R4 - 1]
104,,4,104.0,Las Vegas Raiders,Jakorian Bennett,CB,Maryland,Big Ten,from Houston[R4 - 2]
105,,4,105.0,Philadelphia Eagles,Kelee Ringo,CB,Georgia,SEC,from Arizona via Houston[R4 - 3]
106,,4,106.0,Indianapolis Colts,Blake Freeland,OT,BYU,Ind. (FBS),
107,,4,107.0,New England Patriots,Jake Andrews,C,Troy,Sun Belt,from LA Rams[R4 - 4]
108,,4,108.0,Seattle Seahawks,Anthony Bradford,OG,LSU,SEC,from Denver[R4 - 5]
109,,4,109.0,Houston Texans,Dylan Horton,DE,TCU,Big 12,from Las Vegas[R4 - 6]
110,,4,110.0,Indianapolis Colts,Adetomiwa Adebawore,DT,Northwestern,Big Ten,from Tennessee via Atlanta[R4 - 7]
111,,4,111.0,Cleveland Browns,Dawand Jones,OT,Ohio State,Big Ten,
112,,4,112.0,New England Patriots,Chad Ryland,K,Maryland,Big Ten,from NY Jets[R4 - 8]
113,,4,113.0,Atlanta Falcons,Clark Phillips III,CB,Utah,Pac-12,
114,,4,114.0,Carolina Panthers,Chandler Zavala,OG,NC State,ACC,
115,,4,115.0,Chicago Bears,Roschon Johnson,RB,Texas,Big 12,from New Orleans[R4 - 9]
116,,4,116.0,Green Bay Packers,Colby Wooden,DT,Auburn,SEC,
117,,4,117.0,New England Patriots,Sidy Sow,OG,Eastern Michigan,MAC,
118,,4,118.0,Washington Commanders,Braeden Daniels,OT,Utah,Pac-12,
119,,4,119.0,Kansas City Chiefs,Chamarri Conner,S,Virginia Tech,ACC,from Detroit via Minnesota[R4 - 10]
120,,4,120.0,New York Jets,Carter Warren,OT,Pittsburgh,ACC,from Pittsburgh via New England[R4 - 11]
121,,4,121.0,Jacksonville Jaguars,Ventrell Miller,ILB,Florida,SEC,from Tampa Bay[R4 - 12]
122,,4,122.0,Arizona Cardinals,Jon Gaines II,OG,UCLA,Pac-12,from Miami via Kansas City and Detroit[R4 - 13]
123,,4,123.0,Seattle Seahawks,Cameron Young,DT,Mississippi State,SEC,
124,,4,124.0,Baltimore Ravens,Tavius Robinson,OLB,Ole Miss,SEC,
125,,4,125.0,Los Angeles Chargers,Derius Davis,WR,TCU,Big 12,
126,,4,126.0,Cleveland Browns,Isaiah McGuire,DE,Missouri,SEC,from Minnesota[R4 - 14]
127,,4,127.0,New Orleans Saints,Jake Haener,QB,Fresno State,MW,from Jacksonville[R4 - 15]
128,,4,128.0,Los Angeles Rams,Stetson Bennett,QB,Georgia,SEC,from NY Giants[R4 - 16]
129,,4,129.0,Dallas Cowboys,Viliami Fehoko,DE,San Jose State,MW,
130,,4,130.0,Jacksonville Jaguars,Tyler Lacy,DE,Oklahoma State,Big 12,from Buffalo[R4 - 17]
131,,4,131.0,Cincinnati Bengals,Charlie Jones,WR,Purdue,Big Ten,
132,,4,132.0,Pittsburgh Steelers,Nick Herbig,OLB,Wisconsin,Big Ten,from San Francisco via Carolina[R4 - 18]
133,,4,133.0,Chicago Bears,Tyler Scott,WR,Cincinnati,The American,from Philadelphia[R4 - 19]
134,,4,134.0,Minnesota Vikings,Jay Ward,S,LSU,SEC,from Kansas City[R4 - 20]
135,,4*,135.0,Las Vegas Raiders,Aidan O'Connell,QB,Purdue,Big Ten,from New England[R4 - 21]
136,,5,136.0,Jacksonville Jaguars,Yasir Abdullah,OLB,Louisville,ACC,from Chicago[R5 - 1]
137,,5,,Houston Texans,Selection forfeited[Forfeit 2],Selection forfeited[Forfeit 2],Selection forfeited[Forfeit 2],Selection forfeited[Forfeit 2],Selection forfeited[Forfeit 2]
138,,5,137.0,Washington Commanders,KJ Henry,DE,Clemson,ACC,from Arizona via Buffalo[R5 - 2]
139,,5,138.0,Indianapolis Colts,Darius Rush,CB,South Carolina,SEC,
140,,5,139.0,Arizona Cardinals,Clayton Tune,QB,Houston,The American,from Denver via Detroit[R5 - 3]
141,,5,140.0,Cleveland Browns,Dorian Thompson-Robinson,QB,UCLA,Pac-12,from LA Rams[R5 - 4]
142,,5,141.0,Minnesota Vikings,Jaquelin Roy,DT,LSU,SEC,from Las Vegas via Indianapolis[R5 - 5]
143,,5,142.0,Cleveland Browns,Cameron Mitchell,CB,Northwestern,Big Ten,
144,,5,143.0,New York Jets,Israel Abanikanda,RB,Pittsburgh,ACC,
145,,5,144.0,New England Patriots,Atonio Mafi,OG,UCLA,Pac-12,from Atlanta via Las Vegas[R5 - 6]
146,,5,145.0,Carolina Panthers,Jammie Robinson,S,Florida State,ACC,
147,,5,146.0,New Orleans Saints,Jordan Howden,S,Minnesota,Big Ten,
148,,5,147.0,Tennessee Titans,Josh Whyle,TE,Cincinnati,The American,
149,,5,148.0,Chicago Bears,Noah Sewell,LB,Oregon,Pac-12,from New England via Baltimore[R5 - 7]
150,,5,149.0,Green Bay Packers,Sean Clifford,QB,Penn State,Big Ten,
151,,5,150.0,Buffalo Bills,Justin Shorter,WR,Florida,SEC,from Washington[R5 - 8]
152,,5,151.0,Seattle Seahawks,Mike Morris,DE,Michigan,Big Ten,from Pittsburgh[R5 - 9]
153,,5,152.0,Detroit Lions,Colby Sorsdal,OT,William & Mary,CAA,
154,,5,153.0,Tampa Bay Buccaneers,SirVocea Dennis,LB,Pittsburgh,ACC,
155,,5,154.0,Seattle Seahawks,Olu Oluwatimi,C,Michigan,Big Ten,
156,,5,155.0,San Francisco 49ers,Darrell Luter Jr.,CB,South Alabama,Sun Belt,from Miami[R5 - 10]
157,,5,156.0,Los Angeles Chargers,Jordan McFadden,OG,Clemson,ACC,
158,,5,157.0,Baltimore Ravens,Kyu Kelly,CB,Stanford,Pac-12,
159,,5,158.0,Indianapolis Colts,Daniel Scott,S,California,Pac-12,from Minnesota[R5 - 11]
160,,5,159.0,Green Bay Packers,Dontayvion Wicks,WR,Virginia,ACC,from Jacksonville via Atlanta and Detroit[R5 - 12]
161,,5,160.0,Jacksonville Jaguars,Antonio Johnson,S,Texas A&M,SEC,from NY Giants[R5 - 13]
162,,5,161.0,Los Angeles Rams,Nick Hampton,LB,Appalachian State,Sun Belt,from Dallas via Houston[R5 - 14]
163,,5,162.0,Indianapolis Colts,Will Mallory,TE,Miami (FL),ACC,from Buffalo[R5 - 15]
164,,5,163.0,Cincinnati Bengals,Chase Brown,RB,Illinois,Big Ten,
165,,5,164.0,Minnesota Vikings,Jaren Hall,QB,BYU,Ind. (FBS),from San Francisco[R5 - 16]
166,,5,165.0,Chicago Bears,Terell Smith,CB,Minnesota,Big Ten,from Philadelphia via New Orleans[R5 - 17]
167,,5,166.0,Kansas City Chiefs,B. J. Thompson,LB,Stephen F. Austin,WAC,
168,,5*,167.0,Houston Texans,Henry To'oTo'o,LB,Alabama,SEC,from LA Rams[R5 - 18]
169,,5*,168.0,Arizona Cardinals,Owen Pappoe,LB,Auburn,SEC,from Arizona via Detroit[R5 - 19]
170,,5*,169.0,Dallas Cowboys,Asim Richards,OT,North Carolina,ACC,
171,,5*,170.0,Las Vegas Raiders,Christopher Smith II,S,Georgia,SEC,from Green Bay via N.Y. Jets[R5 - 20]
172,,5*,171.0,Tampa Bay Buccaneers,Payne Durham,TE,Purdue,Big Ten,from LA Rams[R5 - 21]
173,,5*,172.0,New York Giants,Eric Gray,RB,Oklahoma,Big 12,
174,,5*,173.0,San Francisco 49ers,Robert Beal Jr.,LB,Georgia,SEC,
175,,5*,174.0,Los Angeles Rams,Warren McClendon,OT,Georgia,SEC,from Las Vegas via Houston[R5 - 22]
176,,5*,175.0,Los Angeles Rams,Davis Allen,TE,Clemson,ACC,from Tampa Bay[R5 - 23]
177,,5*,176.0,Indianapolis Colts,Evan Hull,RB,Northwestern,Big Ten,from Dallas[R5 - 24]
178,,5*,177.0,Los Angeles Rams,Puka Nacua,WR,BYU,Ind. (FBS),
179,,6,178.0,Dallas Cowboys,Eric Scott Jr.,CB,Southern Miss,Sun Belt,from Chicago via Miami and Kansas City[R6 - 1]
180,,6,179.0,Green Bay Packers,Karl Brooks,DT,Bowling Green,MAC,from Houston via Tampa Bay[R6 - 2]
181,,6,180.0,Arizona Cardinals,Kei'Trel Clark,CB,Louisville,ACC,
182,,6,181.0,Tampa Bay Buccaneers,Josh Hayes,CB,Kansas State,Big 12,from Indianapolis[R6 - 3]
183,,6,182.0,Los Angeles Rams,Tre'Vius Hodges-Tomlinson,CB,TCU,Big 12,
184,,6,183.0,Denver Broncos,JL Skinner,S,Boise State,MW,from Denver via Detroit[R6 - 4]
185,,6,184.0,New York Jets,Zaire Barnes,LB,Western Michigan,MAC,from Las Vegas via New England[R6 - 5]
186,,6,185.0,Jacksonville Jaguars,Parker Washington,WR,Penn State,Big Ten,from NY Jets[R6 - 6]
187,,6,186.0,Tennessee Titans,Jaelyn Duncan,OT,Maryland,Big Ten,from Atlanta[R6 - 7]
188,,6,187.0,New England Patriots,Kayshon Boutte,WR,LSU,SEC,from Carolina[R6 - 8]
189,,6,188.0,Philadelphia Eagles,Tanner McKee,QB,Stanford,Pac-12,from New Orleans via Houston[R6 - 9]
190,,6,189.0,Los Angeles Rams,Ochaun Mathis,DE,Nebraska,Big Ten,from Tennessee[R6 - 10]
191,,6,190.0,Cleveland Browns,Luke Wypler,C,Ohio State,Big Ten,
192,,6,191.0,Tampa Bay Buccaneers,Trey Palmer,WR,Nebraska,Big Ten,"from Green Bay via L.A. Rams, Houston, and Philadelphia[R6 - 11]"
193,,6,192.0,New England Patriots,Bryce Baringer,P,Michigan State,Big Ten,
194,,6,193.0,Washington Commanders,Chris Rodriguez Jr.,RB,Kentucky,SEC,
195,,6,194.0,Kansas City Chiefs,Keondre Coburn,DT,Texas,Big 12,from Detroit[R6 - 12]
196,,6,195.0,New Orleans Saints,A. T. Perry,WR,Wake Forest,ACC,from Pittsburgh via Denver[R6 - 13]
197,,6,196.0,Tampa Bay Buccaneers,Jose Ramirez,LB,Eastern Michigan,MAC,
198,,6,197.0,Miami Dolphins,Elijah Higgins,WR,Stanford,Pac-12,
199,,6,198.0,Seattle Seahawks,Jerrick Reed II,S,New Mexico,MW,
200,,6,199.0,Baltimore Ravens,Malaesala Aumavae–Laulu,OT,Oregon,Pac-12,
201,,6,200.0,Los Angeles Chargers,Scott Matlock,DT,Boise State,MW,from L.A. Chargers via Chicago[R6 - 14]
202,,6,201.0,Houston Texans,Jarrett Patterson,C,Notre Dame,Ind. (FBS),from Minnesota[R6 - 15]
203,,6,202.0,Jacksonville Jaguars,Christian Braswell,CB,Rutgers,Big Ten,
204,,6,203.0,Las Vegas Raiders,Amari Burney,LB,Florida,SEC,from NY Giants via Houston[R6 - 16]
205,,6,204.0,New York Jets,Jarrick Bernard-Converse,CB,LSU,SEC,from Dallas via Las Vegas[R6 - 17]
206,,6,205.0,Houston Texans,Xavier Hutchinson,WR,Iowa State,Big 12,from Buffalo[R6 - 18]
207,,6,206.0,Cincinnati Bengals,Andrei Iosivas,WR,Princeton,Ivy,
208,,6,207.0,Green Bay Packers,Anders Carlson,K,Auburn,SEC,from San Francisco via Houston and NY Jets[R6 - 19]
209,,6,208.0,Jacksonville Jaguars,Erick Hallett,S,Pittsburgh,ACC,from Philadelphia[R6 - 20]
210,,6,209.0,New York Giants,Tre Hawkins III,CB,Old Dominion,Sun Belt,from Kansas City[R6 - 21]
211,,6*,210.0,New England Patriots,Demario Douglas,WR,Liberty,Ind. (FBS),
212,,6*,211.0,Indianapolis Colts,Titus Leo,OLB,Wagner,NEC,from Minnesota[R6 - 22]
213,,6*,212.0,Dallas Cowboys,Deuce Vaughn,RB,Kansas State,Big 12,
214,,6*,213.0,Arizona Cardinals,Dante Stills,DT,West Virginia,Big 12,
215,,6*,214.0,New England Patriots,Ameer Speed,CB,Michigan State,Big Ten,from Las Vegas[R6 - 23]
216,,6*,215.0,Los Angeles Rams,Zach Evans,RB,Ole Miss,SEC,from Washington via Buffalo[R6 - 24]
217,,6*,216.0,San Francisco 49ers,Dee Winters,LB,TCU,Big 12,
218,,6*,217.0,Cincinnati Bengals,Brad Robbins,P,Michigan,Big Ten,from Kansas City[R6 - 25]
219,,7,218.0,Chicago Bears,Travis Bell,DT,Kennesaw State,ASUN,
220,,7,219.0,Detroit Lions,Antoine Green,WR,North Carolina,ACC,from Houston via Minnesota and Philadelphia[R7 - 1]
221,,7,220.0,New York Jets,Zack Kuntz,TE,Old Dominion,Sun Belt,from Arizona via Las Vegas[R7 - 2]
222,,7,221.0,Indianapolis Colts,Jaylon Jones,CB,Texas A&M,SEC,
223,,7,222.0,Minnesota Vikings,DeWayne McBride,RB,UAB,C-USA,from Denver via San Francisco[R7 - 3]
224,,7,223.0,Los Angeles Rams,Ethan Evans,P,Wingate,SAC,
225,,7,224.0,Atlanta Falcons,DeMarcco Hellams,S,Alabama,SEC,from Las Vegas[R7 - 4]
226,,7,225.0,Atlanta Falcons,Jovaughn Gwyn,OG,South Carolina,SEC,
227,,7,226.0,Jacksonville Jaguars,Cooper Hodges,OT,Appalachian State,Sun Belt,from Carolina[R7 - 5]
228,,7,227.0,Jacksonville Jaguars,Raymond Vohasek,DT,North Carolina,ACC,from New Orleans[R7 - 6]
229,,7,228.0,Tennessee Titans,Colton Dowell,WR,UT Martin,OVC,
230,,7,229.0,Baltimore Ravens,Andrew Vorhees,OG,USC,Pac-12,from Cleveland[R7 - 7]
231,,7,230.0,Buffalo Bills,Nick Broeker,OG,Ole Miss,SEC,"from NY Jets via Tampa Bay, Houston, Philadelphia and Houston[R7 - 8]"
232,,7,231.0,Las Vegas Raiders,Nesta Jade Silvera,DT,Arizona State,Pac-12,from New England[R7 - 9]
233,,7,232.0,Green Bay Packers,Carrington Valentine,CB,Kentucky,SEC,
234,,7,233.0,Washington Commanders,Andre Jones Jr.,DE,Louisiana,Sun Belt,
235,,7,234.0,Los Angeles Rams,Jason Taylor II,S,Oklahoma State,Big 12,from Pittsburgh[R7 - 10]
236,,7,235.0,Green Bay Packers,Lew Nichols III,RB,Central Michigan,MAC,from Detroit via LA Rams[R7 - 11]
237,,7,236.0,Indianapolis Colts,Jake Witt,OT,Northern Michigan,GLIAC,from Tampa Bay[R7 - 12]
238,,7,237.0,Seattle Seahawks,Kenny McIntosh,RB,Georgia,SEC,
239,,7,238.0,Miami Dolphins,Ryan Hayes,OT,Michigan,Big Ten,
240,,7,239.0,Los Angeles Chargers,Max Duggan,QB,TCU,Big 12,
241,,7,240.0,Jacksonville Jaguars,Derek Parish,FB,Houston,The American,from Baltimore via NY Giants[R7 - 13]
242,,7,241.0,Pittsburgh Steelers,Cory Trice,CB,Purdue,Big Ten,from Minnesota via Denver[R7 - 14]
243,,7,242.0,Green Bay Packers,Anthony Johnson Jr.,S,Iowa State,Big 12,from Jacksonville[R7 - 15]
244,,7,243.0,New York Giants,Jordon Riley,DT,Oregon,Pac-12,
245,,7,244.0,Dallas Cowboys,Jalen Brooks,WR,South Carolina,SEC,
246,,7,245.0,New England Patriots,Isaiah Bolden,CB,Jackson State,SWAC,from Buffalo via Atlanta[R7 - 16]
247,,7,246.0,Cincinnati Bengals,D. J. Ivey,CB,Miami (FL),ACC,
248,,7,247.0,San Francisco 49ers,Brayden Willis,TE,Oklahoma,Big 12,
249,,7,248.0,Houston Texans,Brandon Hill,S,Pittsburgh,ACC,from Philadelphia[R7 - 17]
250,,7,249.0,Philadelphia Eagles,Moro Ojomo,DE,Texas,Big 12,from Kansas City via Detroit[R7 - 18]
251,,7*,250.0,Kansas City Chiefs,Nic Jones,CB,Ball State,MAC,
252,,7*,251.0,Pittsburgh Steelers,Spencer Anderson,OG,Maryland,Big Ten,from LA Rams[R7 - 19]
253,,7*,252.0,Buffalo Bills,Alex Austin,CB,Oregon State,Pac-12,from Tampa Bay via LA Rams[R7 - 20]
254,,7*,253.0,San Francisco 49ers,Ronnie Bell,WR,Michigan,Big Ten,
255,,7*,254.0,New York Giants,Gervarrius Owens,S,Houston,The American,
256,,7*,255.0,San Francisco 49ers,Jalen Graham,OLB,Purdue,Big Ten,
257,,7*,256.0,Green Bay Packers,Grant DuBose,WR,Charlotte,C-USA,
258,,7*,257.0,Denver Broncos,Alex Forsyth,C,Oregon,Pac-12,from New Orleans[R7 - 21]
259,,7^,258.0,Chicago Bears,Kendall Williamson,CB,Stanford,Pac-12,
260,,7^,259.0,Los Angeles Rams,Desjuan Johnson,DE,Toledo,MAC,from Houston[R7 - 22]
